EQUIPAMENTO,IP/IN,FP,POT(W),FD,Hora/d,3F?,NT?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,CAT
ILUMINACAO LED 15W,1.2,0.95,15,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO LED 3W,1.2,0.95,3,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO LED 5W,1.2,0.95,5,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO LED 7W,1.2,0.95,7,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO LED 9W,1.2,0.95,9,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
IMPRESSORA COMUM JATO,2.0,0.85,90,0.7,0.5,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
IMPRESSORA LASER MEDIA,5.0,0.85,900,0.7,0.5,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
IMPRESSORA MULTIFUNCIONAL GRANDE,6.0,0.85,2000,0.7,0.3,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
IMPRESSORA MULTIFUNCIONAL MÉDIA,5.0,0.85,1500,0.7,0.3,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
IRRIGADOR ELETRICO,6.0,0.85,4,0.5,5.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,MOT_R
LIQUIDIFICADOR DOMÉSTICO,6.0,0.85,300,0.8,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
LUMINARIA SIMPLES,1.0,1.0,9,0.8,8.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
MÁQUINA DE LAVAR LOUÇAS,6.0,0.85,1500,0.9,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
MÁQUINA DE LAVAR ROUPAS,6.0,0.85,1500,0.9,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
MÁQUINA DE LAVAR ROUPAS COM AQUECIMENTO,6.0,0.85,1000,0.9,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
MÁQUINA DE SECAR ROUPAS,6.0,0.85,3500,0.9,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
MODEM ROTEADOR,1.2,0.95,27,0.7,24.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
MONITOR,1.2,0.95,100,0.7,3.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
NOTEBOOK,1.2,0.95,50,0.7,6.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
PANELA ELÉTRICA,1.0,1.0,1200,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
PORTAO ELETRICO MOTORIZADO,5.0,0.75,180,0.5,1.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,MOT_R
PROCESSADOR DE ALIMENTOS,5.0,0.85,460,0.8,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
RADIO RELOGIO,1.2,0.95,5,0.8,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
SANDUICHEIRA,1.0,1.0,850,0.8,0.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
SAUNA COMERCIAL,1.0,1.0,12000,0.9,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SAUNA RESIDENCIAL,1.0,1.0,4500,0.9,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SECADOR DE CABELOS GRANDE,2.0,0.95,1200,0.9,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SECADOR DE CABELOS PEQUENO,2.0,0.95,700,0.9,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SECADOR DE ROUPA COMERCIAL,2.0,0.95,5000,0.9,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SECADOR DE ROUPA RESIDENCIAL,2.0,0.95,2000,0.9,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
SENSOR DE PRESENCA,1.2,0.95,300,0.7,0.1,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
TELEFONE RESIDENCIAL,1.0,0.95,10,0.7,24.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
TORNEIRA ELETRICA,1.0,1.0,5500,1.0,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
TORRADEIRA,1.0,1.0,800,0.8,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
"TV LCD 22""",1.2,0.95,56,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LCD 32""",1.2,0.95,122,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LCD 37""",1.2,0.95,140,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LCD 42""",1.2,0.95,210,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LED 32""",1.2,0.95,95,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LED 40""",1.2,0.95,90,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LED 46""",1.2,0.95,165,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LED 55""",1.2,0.95,150,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV LED 60""",1.2,0.95,180,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV PLASMA 42""",1.2,0.95,280,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
"TV PLASMA 50""",1.2,0.95,457,0.7,6.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
VENTILADOR COMUM,6.0,0.85,40,0.75,8.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
VENTILADOR DE PEDESTAL,6.0,0.85,70,0.75,8.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
VENTILADOR DE TETO,6.0,0.85,200,0.75,8.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
VENTILADOR GRANDE,6.0,0.85,250,0.75,8.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
VIDEO GAME PLAYSTATION 3,1.2,0.95,64,0.7,2.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
VIDEO GAME PLAYSTATION 4,1.2,0.95,181,0.7,2.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
VIDEO GAME XBOX 360,1.2,0.95,70,0.7,2.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
VIDEO GAME XBOX ONE,1.2,0.95,210,0.7,2.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
TOMADA SIMPLES,2.0,0.85,150,0.75,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,ELDO_P
TOMADA AMPLA,2.0,0.85,300,0.75,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,ELDO_P
