EQUIPAMENTO,IP/IN,FP,POT(W),FD,Hora/d,3F?,NT?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,CAT
BARBEADOR ELETRICO,6.0,1.0,50,0.8,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
BATEDEIRA DE BOLO,6.0,1.0,100,0.8,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
"BOMBA MONOFASICA (0,25CV - 1/4CV)",6.0,0.75,200,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA MONOFASICA (0,33CV - 1/3CV)",6.0,0.75,300,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA MONOFASICA (1,0CV - 1CV)",6.0,0.75,800,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA MONOFASICA (1,5CV)",6.0,0.75,1200,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA MONOFASICA (2CV),6.0,0.75,1600,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA MONOFASICA (3CV),6.0,0.75,2400,1.0,2.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (0,5CV - 1/2CV)",6.0,0.75,400,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (0,75CV - 3/4CV)",6.0,0.75,600,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (1CV),6.0,0.75,800,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (1,5CV)",6.0,0.75,1200,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (2CV),6.0,0.75,1600,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (3CV),6.0,0.75,2400,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (5CV),6.0,0.75,4000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (7,5CV)",6.0,0.75,6000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (10CV),6.0,0.75,8000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (15CV),6.0,0.75,12000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (1,5CV) COM CFW500",2.0,0.75,1200,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (2CV) COM CFW500,2.0,0.75,1600,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (3CV) COM CFW500,2.0,0.75,2400,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (5CV) COM CFW500,2.0,0.75,4000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
"BOMBA TRIFÁSICA (7,5CV) COM CFW500",2.0,0.75,6000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (10CV) COM CFW500,2.0,0.75,8000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
BOMBA TRIFÁSICA (15CV) COM CFW500,2.0,0.75,12000,1.0,2.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
CAFETEIRA ELÉTRICA RESIDENCIAL,1.0,1.0,600,0.8,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
CAFETEIRA ELÉTRICA USO COMERCIAL,1.0,1.0,1200,0.8,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
CARREGADOR DE CELULAR,1.0,0.95,20,0.7,1.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
CERCA ELETRICA,1.5,0.95,10,1.0,12.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,ESPEC
CHAPINHA DE CABELO,1.0,1.0,60,0.7,0.4,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
CHURRASQUEIRA ELETRICA,1.0,1.0,2000,0.8,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
CHUVEIRO 4 ESTAÇÕES,1.0,1.0,6500,1.0,0.75,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
COMPUTADOR COMPACTO,1.2,0.95,200,0.7,2.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
COMPUTADOR DESKTOP,1.2,0.95,300,0.7,2.0,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
CORTADOR DE GRAMA,6.0,0.85,1300,0.75,2.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
DEPILADOR,6.0,0.7,5,0.7,0.1,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
DESUMIDIFICADOR,1.0,1.0,330,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
DVD,1.0,0.98,150,0.7,6.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
ESPREMEDOR DE FRUTAS,6.0,0.7,200,0.8,0.3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
